date;S;C
12/6/19 11:02;0,319753391;0,274297373
12/6/19 16:02;0,665079135;0,648409848
12/6/19 15:51;0,391761653;0,381198521
12/6/19 16:02;0,726023939;0,715521824
12/6/19 16:06;0,662269058;0,645398759
12/6/19 20:59;1,006258001;1,017343743
13/6/19 9:02;0,992240747;1,006221107
13/6/19 13:55;1,336469596;1,37755337
13/6/19 13:58;1,324282481;1,373055472
13/6/19 18:54;1,668863678;1,747448405
13/6/19 19:26;;1,678912599
13/6/19 19:46;;2,027180493
14/6/19 15:22;0,950653078;0,94463866
14/6/19 19:01;0,950653078;0,94463866
17/6/19 9:00;0,925506523;0,917266484
17/6/19 13:51;0,925506523;0,917266484
17/6/19 13:52;0,920222847;0,912406199
17/6/19 18:43;0,920222847;0,912406199
18/6/19 5:01;0,913354737;0,902950255
18/6/19 9:07;1,086152663;1,089080023
18/6/19 12:00;1;1
18/6/19 16:21;1,173426087;1,187059261
19/6/19 5:00;1,030488201;1,029584251
19/6/19 12:00;1,030488201;1,029584251
21/6/19 5:00;1,006934163;1,004002367
21/6/19 10:07;1,179112094;1,189281148
23/6/19 9:00;1,057206952;1,059967369
23/6/19 14:20;1,228868787;1,244597021
24/6/19 7:00;1,221424765;1,280240927
24/6/19 12:46;1,393547212;1,465889888
24/6/19 15:26;1,097999465;1,109376548
24/6/19 19:29;1,269936264;1,295123218
25/6/19 5:00;1,106981513;1,095549167
25/6/19 11:24;1,279300171;1,280878093
26/6/19 5:00;1,098784462;1,090577855
26/6/19 10:15;1,277207085;1,272543145
26/6/19 10:16;1,089816921;1,098508584
26/6/19 17:00;1,265025188;1,287189148
27/6/19 5:01;1;1
27/6/19 15:42;1,160510548;1,170514702
28/6/19 5:00;1,011696089;1,00475117
28/6/19 11:44;1,011696089;1,03199647
29/6/19 5:00;0,986227094;0,991879193
29/6/19 8:39;0,986227094;1,018920136
30/6/19 5:00;0,973162919;0,993303022
30/6/19 11:52;0,973162919;1,020037213
1/7/19 7:30;0,952657553;0,990819995
1/7/19 15:56;0,952657553;1,031781774
2/7/19 5:00;0,936656262;0,998688236
2/7/19 12:13;0,936656262;1,039024359
3/7/19 11:57;0,904588199;0,993412038
3/7/19 15:30;0,904588199;1,033868266
4/7/19 5:00;0,886264812;1,002514462
4/7/19 13:48;0,886264812;1,043761205
5/7/19 5:00;0,865700422;1,006080677
5/7/19 11:57;0,865700422;1,047194396
6/7/19 6:00;0,843917309;1,005709311
6/7/19 9:33;0,843917309;1,060194688
7/7/19 5:00;0,815943959;1,005951204
7/7/19 17:28;0,815943959;1,060861352
8/7/19 8:25;0,798916659;1,013735031
8/7/19 11:52;0,798916659;1,067047828
9/7/19 5:00;0,778448908;1,020278872
9/7/19 10:22;0,778448908;1,073001118
10/7/19 5:00;0,747419372;1,018945887
10/7/19 14:50;0,747419372;1,073455865
11/7/19 5:00;0,725533365;1,023130366
11/7/19 11:51;0,725533365;1,077452611
12/7/19 9:00;0,694556471;1,017063011
12/7/19 12:52;0,694556471;1,070833351
13/7/19 5:00;0,666000523;1,01431421
13/7/19 14:05;0,666000523;1,068658962
14/7/19 5:00;0,639482836;1,0112704
14/7/19 5:00;0,639482836;1,065221848
15/7/19 5:00;0,603761397;1,006269454
15/7/19 12:37;0,603761397;1,058802864
16/7/19 11:35;0,556801224;0,966873788
16/7/19 12:29;0,556801224;1,024600799
