Genotype;Panel;Collection
ACADUR;UNIBO;Bologna University
ANTALIS;CREA;CREA
ANVERGUR;GPDUR;Bologna University
ARDENTE;UNIBO;Bologna University
ASTERIX;CREA;CREA
AVENTUR;GPDUR;Arvalis
AZEGHAR-2_DP128;UNIBO;Bologna University
BALSAMO;CREA;CREA
BOLIDO-DP034;UNIBO;Bologna University
CASANOVA;CREA;CREA
CHAM-1_DP136;UNIBO;Bologna University
COLOSSEO_DP087;UNIBO;Bologna University
EL4X_120;EPO;INRAE Montpellier
EL4X_194;EPO;INRAE Montpellier
EL4X_316;EPO;INRAE Montpellier
EL4X_35;EPO;INRAE Montpellier
EL4X_428;EPO;INRAE Montpellier
EL4X_464;EPO;INRAE Montpellier
FURIO_CAMILLO;CREA;CREA
GIUSTO;CREA;CREA
KOFA;UNIBO;Bologna University
L2574;CREA;CREA
LAHAN;GPDUR;Arvalis
LGBORIS;GPDUR;Arvalis
LLOYD;UNIBO;Bologna University
MIKI-1_DP161;UNIBO;Bologna University
MONASTIR;GPDUR;Arvalis
MURANO;GPDUR;Arvalis
NEMESIS;GPDUR;Arvalis
NOBILIS;GPDUR;Arvalis
ORJAUNE;GPDUR;Arvalis
PLUSSUR;GPDUR;Arvalis
QUALIDOU;GPDUR;Arvalis
RAMIREZ;CREA;CREA
Selcuklu-97;CREA;CREA
SVEVO;CREA;CREA
